Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Modified Countries,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,,
TM,Detailed trade matrix,76,Brazil,40,Austria,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,2.48,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,40,Austria,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,0.93,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,40,Austria,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,0.08,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,40,Austria,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,1041,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,40,Austria,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,1158.71,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,40,Austria,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,134.15,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,40,Austria,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,18.83,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,1129.83,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,1724.2,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,80.66,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,45.35,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,23912.01,Coffee substitutes,2018,2018,tonnes,0.22,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,0.11,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,0.1,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,1.7,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,1.32,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,132438.48,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,151251.59,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,56,Belgium,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,224546.68,I,Imputed value,,
