Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","23912.02","Coffee extracts","2015","2015","tonnes","7.92","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","23912.02","Coffee extracts","2020","2020","tonnes","2.48","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2018","2018","tonnes","0.93","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2021","2021","tonnes","0.08","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2011","2011","tonnes","1711","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2012","2012","tonnes","1688","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2013","2013","tonnes","1068","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2014","2014","tonnes","1224","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2015","2015","tonnes","1130.4","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2016","2016","tonnes","993.6","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2017","2017","tonnes","1140.28","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2018","2018","tonnes","1041","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2019","2019","tonnes","1158.71","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2020","2020","tonnes","134.15","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","040","Austria","5910","Export Quantity","01610","Coffee, green","2021","2021","tonnes","18.83","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","056","Belgium","5910","Export Quantity","23912.02","Coffee extracts","2011","2011","tonnes","1639","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","056","Belgium","5910","Export Quantity","23912.02","Coffee extracts","2012","2012","tonnes","1604","A","Official figure"
