Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2011","2011","tonnes","14129","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2012","2012","tonnes","12284","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2013","2013","tonnes","14091","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2014","2014","tonnes","14119.93","I","Imputed value"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2015","2015","tonnes","14000.51","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2016","2016","tonnes","13496.81","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2017","2017","tonnes","13912.57","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2018","2018","tonnes","14499.91","I","Imputed value"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2019","2019","tonnes","15498.5","I","Imputed value"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2020","2020","tonnes","17966.77","I","Imputed value"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2021","2021","tonnes","16615.45","I","Imputed value"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2014","2014","tonnes","0.93","A","Official figure"
"TM","Detailed trade matrix","076","Brazil","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2015","2015","tonnes","28.14","A","Official figure"
