Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2011,2011,tonnes,13548,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2012,2012,tonnes,12865,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2013,2013,tonnes,14924,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2014,2014,tonnes,13861.59,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2015,2015,tonnes,14450.8,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2016,2016,tonnes,13759.94,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2017,2017,tonnes,14486.14,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2018,2018,tonnes,14889.13,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2019,2019,tonnes,15886.54,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2020,2020,tonnes,19790.53,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.02,Coffee extracts,2021,2021,tonnes,17662.43,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,39150.01,Coffee husks and skins,2015,2015,tonnes,16,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,39150.01,Coffee husks and skins,2016,2016,tonnes,3,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,39150.01,Coffee husks and skins,2020,2020,tonnes,0,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,39150.01,Coffee husks and skins,2021,2021,tonnes,1,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.01,Coffee substitutes,2015,2015,tonnes,0,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23912.01,Coffee substitutes,2020,2020,tonnes,0.16,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2011,2011,tonnes,2832,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2012,2012,tonnes,1847,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2013,2013,tonnes,1031,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2014,2014,tonnes,949.4,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2015,2015,tonnes,619.14,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2016,2016,tonnes,832.39,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2017,2017,tonnes,792.31,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,645.2,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,1058.76,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,1260.58,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,1292.54,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2011,2011,tonnes,401883,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2012,2012,tonnes,320196,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2013,2013,tonnes,349448,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2014,2014,tonnes,424746.07,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2015,2015,tonnes,453959.9,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2016,2016,tonnes,387673.64,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2017,2017,tonnes,357785.8,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2018,2018,tonnes,365263.87,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2019,2019,tonnes,461570.53,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2020,2020,tonnes,449278.93,A,Official figure
TM,Detailed trade matrix,840,United States of America,76,Brazil,5610,Import Quantity,1610,"Coffee, green",2021,2021,tonnes,463472.81,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2011,2011,tonnes,191,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2012,2012,tonnes,188,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2013,2013,tonnes,331,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2014,2014,tonnes,136.52,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2015,2015,tonnes,160.71,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2016,2016,tonnes,128.96,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2017,2017,tonnes,242.43,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2018,2018,tonnes,203.78,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2019,2019,tonnes,98.74,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2020,2020,tonnes,852.68,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.02,Coffee extracts,2021,2021,tonnes,545.67,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.01,Coffee substitutes,2012,2012,tonnes,0,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23912.01,Coffee substitutes,2020,2020,tonnes,0.2,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2011,2011,tonnes,104,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2012,2012,tonnes,125,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2013,2013,tonnes,160,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2014,2014,tonnes,95.27,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2015,2015,tonnes,90.13,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2016,2016,tonnes,111.83,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2017,2017,tonnes,140.9,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,184.25,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,132.91,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,177.61,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,62.45,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2011,2011,tonnes,5082,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2012,2012,tonnes,5158,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2013,2013,tonnes,4022,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2014,2014,tonnes,4487.69,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2015,2015,tonnes,7239.68,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2016,2016,tonnes,10280.82,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2017,2017,tonnes,10447.87,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2018,2018,tonnes,8620.26,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2019,2019,tonnes,10571.12,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2020,2020,tonnes,4695.42,A,Official figure
TM,Detailed trade matrix,840,United States of America,156,"China, mainland",5610,Import Quantity,1610,"Coffee, green",2021,2021,tonnes,5136.37,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2011,2011,tonnes,4574,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2012,2012,tonnes,3761,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2013,2013,tonnes,4088,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2014,2014,tonnes,4020.79,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2015,2015,tonnes,4012.41,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2016,2016,tonnes,4968.04,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2017,2017,tonnes,5483.69,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2018,2018,tonnes,5965.11,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2019,2019,tonnes,6470.16,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2020,2020,tonnes,6626.14,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.02,Coffee extracts,2021,2021,tonnes,7334.82,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,39150.01,Coffee husks and skins,2011,2011,tonnes,382,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,39150.01,Coffee husks and skins,2012,2012,tonnes,40,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,39150.01,Coffee husks and skins,2013,2013,tonnes,19,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,39150.01,Coffee husks and skins,2014,2014,tonnes,19,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,39150.01,Coffee husks and skins,2015,2015,tonnes,58,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,39150.01,Coffee husks and skins,2016,2016,tonnes,37,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,39150.01,Coffee husks and skins,2019,2019,tonnes,0,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,39150.01,Coffee husks and skins,2020,2020,tonnes,0,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,39150.01,Coffee husks and skins,2021,2021,tonnes,0,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.01,Coffee substitutes,2018,2018,tonnes,0.15,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.01,Coffee substitutes,2019,2019,tonnes,5.64,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.01,Coffee substitutes,2020,2020,tonnes,0.02,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23912.01,Coffee substitutes,2021,2021,tonnes,0.75,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2011,2011,tonnes,6574,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2012,2012,tonnes,7024,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2013,2013,tonnes,3412,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2014,2014,tonnes,3973.86,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2015,2015,tonnes,4198.24,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2016,2016,tonnes,4204.35,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2017,2017,tonnes,6862.23,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,6424.41,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,7752.27,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,8434.41,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,8864.45,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2011,2011,tonnes,201414,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2012,2012,tonnes,169945,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2013,2013,tonnes,246963,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2014,2014,tonnes,268614.53,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2015,2015,tonnes,314280.71,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2016,2016,tonnes,305976.07,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2017,2017,tonnes,333694.17,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2018,2018,tonnes,329655.45,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2019,2019,tonnes,343106.92,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2020,2020,tonnes,288714.61,A,Official figure
TM,Detailed trade matrix,840,United States of America,170,Colombia,5610,Import Quantity,1610,"Coffee, green",2021,2021,tonnes,289786.94,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,23912.02,Coffee extracts,2011,2011,tonnes,14,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,23912.02,Coffee extracts,2017,2017,tonnes,0.34,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,23912.02,Coffee extracts,2018,2018,tonnes,3.97,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,23912.02,Coffee extracts,2019,2019,tonnes,4.06,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,23912.02,Coffee extracts,2020,2020,tonnes,3.5,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,23912.02,Coffee extracts,2021,2021,tonnes,2.15,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,39150.01,Coffee husks and skins,2016,2016,tonnes,3,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,39150.01,Coffee husks and skins,2017,2017,tonnes,12,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,39150.01,Coffee husks and skins,2018,2018,tonnes,4,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,39150.01,Coffee husks and skins,2019,2019,tonnes,61,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,39150.01,Coffee husks and skins,2020,2020,tonnes,5,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,39150.01,Coffee husks and skins,2021,2021,tonnes,8,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2011,2011,tonnes,371,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2012,2012,tonnes,377,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2013,2013,tonnes,327,A,Official figure
TM,Detailed trade matrix,840,United States of America,188,Costa Rica,5610,Import Quantity,23911,"Coffee, decaffeinated or roasted",2014,2014,tonnes,301.1,A,Official figure
